chart_rank,artist_names,track_name,source_of,peak_rank,previous_rank,days_on_chart,streams
1,"Lady Gaga, Bruno Mars",Die With A Smile,Interscope Records,1,1,236,6045246
2,Billie Eilish,BIRDS OF A FEATHER,Darkroom/Interscope Records,1,2,327,5406833
3,Alex Warren,Ordinary,Atlantic Records,2,3,61,4963110
4,"ROSÉ, Bruno Mars",APT.,Atlantic Records,1,4,173,4510266
5,"Kendrick Lamar, SZA",luther (with sza),"pgLang, under exclusive license to Interscope Records",2,6,138,4154103
6,Gracie Abrams,That’s So True,"Gracie Abrams, under exclusive license to Interscope Records",3,5,173,3973720
7,Gigi Perez,Sailor Song,Gigi Perez PS/ Island,6,9,234,3884547
8,Bad Bunny,DtMF,Rimas Entertainment LLC.,1,8,94,3769765
9,Doechii,Anxiety,Top Dawg Entertainment/Capitol Records,2,7,35,3614248
10,"W Sound, Beéle, Ovy On The Drums",La Plena - W Sound 05,WEA Latina,9,10,42,3468476
11,Billie Eilish,WILDFLOWER,Darkroom/Interscope Records,8,12,327,3456969
12,Lola Young,Messy,Universal-Island Records Ltd.,8,14,127,3369831
13,JENNIE,like JENNIE,OA Entertainment/Columbia,7,11,33,3354070
14,"Alemán, Neton Vega",Te Quería Ver,HOMEGROWN MAFIA S.A. DE C.V./Sony Music México-Latin,13,13,63,3288166
15,Bad Bunny,BAILE INoLVIDABLE,Rimas Entertainment LLC.,3,19,94,3194698
16,Sabrina Carpenter,Espresso,Island Records,1,21,362,3181367
17,Tate McRae,Sports car,RCA Records Label,14,20,75,3167604
18,"The Weeknd, Playboi Carti",Timeless (feat Playboi Carti),XO / Republic Records,2,16,194,3167216
19,Drake,NOKIA,OVO Sound,15,15,54,3127229
20,Jimin,Who,BIGHIT MUSIC,1,18,264,3004480
21,Benson Boone,Beautiful Things,"Night Street Records, Inc./Warner Records Inc.",1,17,446,2936018
22,Kendrick Lamar,Not Like Us,"Kendrick Lamar, under exclusive license to Interscope Records",1,23,338,2849937
23,Ariana Grande,twilight zone,Ariana Grande LP6,3,25,12,2849630
24,"Kendrick Lamar, SZA",All The Stars (with SZA),Black Panther (TDE/DMG) PS,2,24,670,2838121
25,"WizTheMc, bees & honey",Show Me Love,Bamboo Artists,22,22,35,2788731
26,"The Weeknd, JENNIE, Lily-Rose Depp","One Of The Girls (with JENNIE, Lily Rose Depp)",XO / Republic Records,2,27,549,2656254
27,Bad Bunny,EoO,Rimas Entertainment LLC.,9,28,94,2620775
28,Lady Gaga,Abracadabra,Interscope Records,2,31,65,2524885
